function_name,count
func_kelimuko81,158371
func_tariniko66,146312
func_melutomo3e,140286
func_lurusumo77,136660
func_tuvesolib3,133929
func_vavisuka66,123749
func_sekesusubd,114737
func_vitelana34,112042
func_nesekeve24,109595
func_nonemiro24,106571
func_meresaso2d,102775
func_semumavi58,99872
func_kivomunodb,98493
func_tisolonabe,96942
func_makikesia8,96594
func_vatotanefc,92681
func_ruvilono57,91870
func_larivuke0b,91343
func_visikuroe2,87195
func_rivuluvi9f,82064
func_novovamo87,80254
func_reromelo7b,80246
func_tomekame64,77519
func_nemoraref7,75026
func_nukekaso22,68609
func_vorarono15,63724
func_sosekineae,61687
func_losoturac7,60926
func_vurumota6b,60417
func_lunomove40,58569
func_sarotukae9,58342
func_rivunuvecb,56836
func_sosalula88,56620
func_salalusuc9,56261
func_ritatemac5,55747
func_roraviric5,54912
func_tirimeru5b,54789
func_nivakero00,54751
func_norimasi99,54722
func_nomilikiff,54675
func_netevenu1e,53890
func_kikaleku76,52211
func_mosemani8d,52104
func_senelemi93,50777
func_rilaravu64,50224
func_tomerino83,49580
func_voteromi19,49461
func_rekisosoff,45876
func_viranoku0f,45651
func_tamuruna15,45363
func_vosekusa23,45098
func_susalulead,44922
func_sumuravu17,44548
func_mutivami66,44548
func_kukononi26,44220
func_vukisuve1e,43501
func_mokirimubb,43185
func_ranukika00,43114
func_tevikumo94,43075
func_rusinari27,42988
func_runasoki0f,42802
func_kalorule0c,42603
func_sovaritoe5,42519
func_netosumu1a,42455
func_mutumova9d,42019
func_mevareru74,42002
func_tolerika83,41933
func_kemoluric3,41893
func_lenukirea2,41884
func_lolurave1d,41675
func_tomaloro43,41674
func_livelanie2,41427
func_reraleno8b,41426
func_rilamatue0,41201
func_lalanavub1,41146
func_runasolu30,41134
func_sasarali73,41092
func_memoreve12,41080
func_kelalemac4,41074
func_reveloso4b,41035
func_vemerime56,41012
func_lukilevo24,40978
func_natisekua9,40887
func_tuturusu59,40862
func_sivetolid7,40799
func_loratelu69,40722
func_kekokelie9,40692
func_rusiseko87,40690
func_kilesosi7b,40679
func_rarokinaa6,40634
func_kakelima2a,40617
func_nikalone96,40605
func_vasekaka0b,40509
func_miverovee9,40503
func_musovasudd,40468
func_vovotemebf,40037
func_nitukini71,39925
func_kolasuki36,39552
func_litesako9d,39405
func_mareteri5c,39356
func_sotosasa97,39337
func_namisulu6b,39174
func_tenokala5e,38523
func_kamumisa7c,38316
func_kaviliru21,38249
func_lonetaru7e,37975
func_sevevovabc,37931
func_vitonona34,37900
func_lesutelefa,37748
func_vikovisu14,37485
func_numovarie6,36795
func_mokanunaca,36478
func_lokulare52,36240
func_vanakelue6,35968
func_tavavinod0,35956
func_valasimi14,35219
func_rukukite33,33369
func_ritanoto0a,33278
func_raralisu41,33254
func_simusulo81,32795
func_nomavokafc,31969
func_mikamaroc9,31903
func_nilemoso9c,31646
func_mulanamo7e,31459
func_netekovia5,31330
func_rutotoruc2,31049
func_vulokinoc4,30523
func_reremoli32,30490
func_mivelokeb4,29887
func_venamemo63,29773
func_vamumoteab,29692
func_lekunuri25,29077
func_lotasoko8e,28927
func_nisulumi6e,28769
func_minusive09,28762
func_semuvole69,28542
func_karukitoff,28542
func_kotimelee9,28542
func_talarero59,28542
func_sunonunuf7,28257
func_nurolari5d,27763
func_vunatamo8d,27736
func_sokikima52,27548
func_vutakakufb,27271
func_resonenub8,27225
func_soviketee8,26991
func_nokeruso01,26947
func_molonero6f,26660
func_linasire6f,26442
func_tunisasi7f,25993
func_limasoli99,25937
func_sinumimida,25847
func_tarukureb5,25470
func_kusevuso27,25457
func_kovitimu64,25452
func_kulusasaba,25380
func_revotole76,25303
func_satevutuda,25294
func_naletisuca,25205
func_vamanavu96,25177
func_tirinatebe,25140
func_tisalela27,25117
func_vomekone56,25068
func_nutekisea9,25064
func_tikinesu5b,25063
func_lemelema18,25049
func_savotulab5,25040
func_senarino6a,24945
func_sikakara7e,24840
func_sevolusu79,24728
func_vuvururo13,24573
func_monenole5d,24496
func_nusoronu37,24347
func_vevumota72,24343
func_rekolirudb,24325
func_noronemi3d,24248
func_ketakere00,24241
func_natelone21,24229
func_ravinale74,24205
func_ravivoli8f,24173
func_netinumaf0,24149
func_toselaled4,24124
func_venitesafb,24080
func_vakovumo8d,23919
func_vosetanuc3,23797
func_rovomeki22,23693
func_levolovo34,23680
func_revosuruda,23625
func_lumavomuc7,23529
func_mikasesi0c,23337
func_vakosimo0e,23308
func_kumanemo50,23221
func_vemetisu32,23043
func_kiranaki73,22789
func_lokeranoa0,22776
func_mereteko10,22699
func_tanovuvuc2,22698
func_ruvomero3e,22586
func_linutisa96,22554
func_salaniti8d,22543
func_romaneto8a,22444
func_tuvivivi3f,22396
func_rikonomadb,22026
func_tasuninoe1,22020
func_lonakuna40,22006
func_sevokorof2,21982
func_setisunua3,21950
func_tetatesu24,21863
func_sekalavi39,21848
func_kaniremo17,21811
func_lamuneke7a,21806
func_talamilocd,21800
func_rusuroli5b,21795
func_relatomifb,21773
func_nakamero61,21759
func_lekutome73,21613
func_niranina0d,21387
func_rasarero14,21378
func_rotokotea8,21322
func_matamita12,20930
func_kivavevo3d,20864
func_terekelueb,20814
func_vusaruku74,20744
func_kurisulu9d,20735
func_kotamova97,20453
func_titiserue0,20432
func_vikikaro99,20318
func_kusonuri94,20304
func_viletuled6,20186
func_tukuvevebd,20135
func_vasesaki7a,20074
func_linosived6,19928
func_rikalasudb,19892
func_nokirosi7b,19797
func_likelenof4,19793
func_lalenaric2,19791
func_motisemi95,19622
func_naloriko17,19475
func_vasasuvadf,19473
func_lavuloke32,19473
func_sukovaso3e,19419
func_semuleli3e,19307
func_suramusi6b,19239
func_surekolid0,19167
func_sevevoku9c,19090
func_tetevituab,19028
func_nitenakadb,19000
func_rutevime3e,18951
func_morasula96,18892
func_vumusevua2,18869
func_nekaluvefb,18816
func_rasuneli12,18763
func_vuvimalodf,18744
func_seliloka99,18648
func_somalisu78,18545
func_lukokari18,18450
func_memolutece,18395
func_litatevecf,18336
func_nutovula59,18334
func_visitale0e,18271
func_lilekaru9f,18183
func_vekuvisub0,18142
func_mevevevu84,18137
func_menoleke86,18069
func_niletuno62,18024
func_rotosuvi6b,18015
func_tuvulare7c,18008
func_nusutune2b,17984
func_molosoni4d,17915
func_sovaluve4e,17847
func_tanomutia3,17832
func_kokitamebb,17783
func_serituna18,17783
func_teletani86,17742
func_rimamarua2,17736
func_tikulovi75,17733
func_kutirurife,17715
func_lunalone9e,17697
func_rotomavec0,17679
func_tinumana71,17627
func_sonuvasied,17601
func_kurelera30,17597
func_laleniroe4,17428
func_vilavavo60,17418
func_vanokito0d,17290
func_nuririruc8,17211
func_vuvatese81,17168
func_tusarune00,17146
func_kumiseve6d,17093
func_totivevoa5,17079
func_tilikereff,17052
func_sukurasi13,16992
func_tamasira93,16956
func_makeroto7f,16914
func_vonirevi3a,16754
func_vokakasae9,16713
func_maketuto4c,16627
func_lasavilaed,16497
func_rasunanu3e,16482
func_kakavila47,16474
func_rikemise45,16470
func_rukevoku58,16238
func_risamiledc,16195
func_mikinalaf2,16152
func_norolosa7d,16137
func_rivutokid6,16047
func_rakinerae5,16001
func_maviketi24,15974
func_kemalena88,15970
func_sinivose49,15929
func_runutuvaa3,15866
func_vanarusade,15847
func_lesunano97,15834
func_tunovosabd,15832
func_kavekira14,15832
func_lesarela9a,15832
func_nurinasu5b,15719
